Model,Mean_Violations,AE_LR_CC,GREEN,YELLOW,RED
VaR_Hist,28.785714285714285,-3.8410000000000006,1,12,1
VaR_Param_n,40.357142857142854,-3.8410000000000006,0,3,11
VaR_Param_t,13.428571428571429,-3.840984448459573,14,0,0
VaR_GARCH_t,19.928571428571427,-3.8410000000000006,12,2,0
VaR_GARCH_n,37.5,-3.8410000000000006,1,3,10
